ITS2 type profile UID		64326	64269	64226	64251	64397	64399	64396	64384	64395	64400	64404	64391	64398	64386	64405	64408	64411	64483	65149	64727	64732	64733	65057	64726	64728	64731	64729	64758	64597	64799	64453	64730	65042	65049	65050	64477	64608	64739	64751	64627	64983	64857	64849	64991	64993
Clade		A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D
Majority ITS2 sequence		A4	A3	A4	A13	B1	B19/B5af	B1	B1	B19	B1	B1	B1	B1	B5	B1	B19	B5ai	C3	C7/C7d/C12c	C3	C3fe	C3/C7	C3	C7/C12c	C3	C47/C44	C54a	C42.2	C3	C45a	C3	C3	C3	C3	C1	C46	C7	C3	C3	C3	D1	D1	D1	D1	D1
Associated species		S. linucheae	S. natans,S. tridacnidorum	S. linucheae	None	S. minutum,S. antillogorgium,S. pseudominutum	None	S. minutum,S. antillogorgium,S. pseudominutum	S. minutum,S. antillogorgium,S. pseudominutum	None	S. minutum,S. antillogorgium,S. pseudominutum	S. minutum,S. antillogorgium,S. pseudominutum	S. minutum,S. antillogorgium,S. pseudominutum	S. minutum,S. antillogorgium,S. pseudominutum	None	S. minutum,S. antillogorgium,S. pseudominutum	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	S. goreaui	S. goreaui	None	None	S. goreaui	None	S. goreaui	S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		5	2	1	1	15	13	10	8	7	7	7	5	4	1	1	1	1	22	22	18	12	8	7	6	5	4	4	4	3	2	2	2	1	1	1	1	1	1	1	1	5	4	1	1	1
ITS2 profile abundance DB		5	59	25	3	15	13	10	32	7	7	7	22	4	31	15	12	1	26	22	18	12	41	7	6	9	4	4	46	40	3	19	15	8	12	243	4	20	33	41	43	32	81	62	75	69
ITS2 type profile		A4-A4ab-A4aa	A3	A4	A13	B1-B1x-B1t-B14b-B1af-B1ae-B1ag	B19/B5af-B19e-B19c-B5ag-B19d-B19f-B40a-B19h	B1-B1z-B1aa-B1ad-B1ac-B1ab	B1	B19-B5af-B19e-B19c-B19d-B19g-B19f	B1-B1x-B1ai-B5ah	B1-B1al-B1aj-B1ak-B1aa	B1-B1g	B1-B1ah-B1aa	B5	B1-B1x-B1t-B14b	B19	B5ai	C3-C16a	C7/C7d/C12c-C12b-C12e-C7h-C3-C7g	C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s	C3fe-C3-C3fg-C3b-C3ag-C21	C3/C7	C3-C3a-C16a	C7/C12c-C7d-C12b-C12e	C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd	C47/C44	C54a-C54b-C3-C54d-C54c	C42.2	C3	C45a	C3/C3b	C3/C3a	C3/C3a-C3b	C1/C3/C1c-C1al	C1/C3-C1c-C1b-C72k-C1w	C46	C7	C1/C42.2/C3-C1b	C21/C3	C1/C3/C1b	D1-D4-D4c-D17d-D1r-D17e	D1-D4-D4c-D1c-D2-D1k	D1/D4-D4c-D1c	D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k	D1-D4-D4c-D6-D2-D4f
106274	WP_Ssid_57_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9786316297284259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106278	WP_Ssid_26_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9759875430257335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106264	WP_Ssid_46_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9749178648390858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106148	ET_Ssid_41_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967976710334789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106183	WP_Ssid_76_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9641740275415592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106233	ET_Ssid_41_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9634195057923871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106191	ET_Ssid_41_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9609971290525873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106257	WP_Ssid_38_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9565018315018314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
